Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
 Si7+		125.00	79.37	2.51	2.51	8.23	8.23	1770.96	28.00	7.00		0.00
 Si8+		116.23	93.46	2.36	2.36	9.68	9.68	1893.24	28.00	8.00		0.00
 Si9+		109.02	107.23	2.23	2.23	11.10	11.10	2008.08	28.00	9.00		0.00
Si10+		102.96	121.22	2.12	2.12	12.54	12.54	2116.70	28.00	10.00		0.00
  S5+		161.78	49.15	3.16	3.16	5.13	5.13	1400.07	32.00	5.00		0.00
  S6+		146.42	61.93	2.89	2.89	6.45	6.45	1533.70	32.00	6.00		0.00
  S7+		134.62	75.10	2.68	2.68	7.80	7.80	1656.58	32.00	7.00		0.00
  S8+		125.19	88.63	2.52	2.52	9.20	9.20	1770.96	32.00	8.00		0.00
  S9+		117.45	102.49	2.38	2.38	10.63	10.63	1878.39	32.00	9.00		0.00
 S10+		110.95	116.12	2.26	2.26	12.03	12.03	1979.99	32.00	10.00		0.00
 Ca6+		165.72	54.17	3.22	3.22	5.67	5.67	1371.78	40.00	6.00		0.00
 Ca7+		152.40	66.09	2.99	2.99	6.90	6.90	1481.69	40.00	7.00		0.00
 Ca8+		141.78	78.49	2.80	2.80	8.18	8.18	1583.99	40.00	8.00		0.00
 Ca9+		133.07	91.22	2.65	2.65	9.50	9.50	1680.08	40.00	9.00		0.00
Ca10+		125.76	104.24	2.52	2.52	10.84	10.84	1770.96	40.00	10.00		0.00
Ca11+		119.52	117.52	2.41	2.41	12.21	12.21	1857.40	40.00	11.00		0.00
 Fe5+		219.86	33.07	4.15	4.15	3.52	3.52	1058.35	56.00	5.00		0.00
 Fe6+		199.15	42.10	3.79	3.79	4.46	4.46	1159.37	56.00	6.00		0.00
 Fe7+		183.27	51.75	3.52	3.52	5.47	5.47	1252.26	56.00	7.00		0.00
 Fe8+		170.60	61.91	3.30	3.30	6.53	6.53	1338.72	56.00	8.00		0.00
 Fe9+		160.23	72.40	3.12	3.12	7.62	7.62	1419.93	56.00	9.00		0.00
Fe10+		151.53	83.38	2.97	2.97	8.76	8.76	1496.73	56.00	10.00		0.00
Fe11+		144.09	94.88	2.84	2.84	9.95	9.95	1569.79	56.00	11.00		0.00
Fe12+		137.18	107.53	2.72	2.72	11.26	11.26	1639.59	56.00	12.00		0.00
Fe13+		131.57	119.65	2.62	2.62	12.51	12.51	1706.54	56.00	13.00		0.00
Step : 4	Numberions : 57
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
  H1+		58.14	14.27	1.50	1.50	1.50	1.50	3296.56	1.00	1.00		0.00
3He1+		112.90	13.29	2.30	2.30	1.50	1.50	1903.27	3.00	1.00		0.00
3He2+		74.75	27.32	1.62	1.62	2.82	2.82	2691.63	3.00	2.00		0.00
 He1+		134.02	13.06	2.67	2.67	1.50	1.50	1648.28	4.00	1.00		0.00
 He2+		90.90	27.03	1.91	1.91	2.79	2.79	2331.02	4.00	2.00		0.00
  C3+		133.25	34.67	2.66	2.66	3.59	3.59	1648.28	12.00	3.00		0.00
  C4+		113.38	48.15	2.30	2.30	4.98	4.98	1903.27	12.00	4.00		0.00
  C5+		99.98	61.66	2.07	2.07	6.38	6.38	2127.92	12.00	5.00		0.00
  C6+		90.17	75.44	1.89	1.89	7.80	7.80	2331.02	12.00	6.00		0.00
  O4+		132.76	44.17	2.65	2.65	4.59	4.59	1648.28	16.00	4.00		0.00
  O5+		117.28	57.29	2.37	2.37	5.94	5.94	1842.83	16.00	5.00		0.00
  O6+		105.96	70.51	2.17	2.17	7.30	7.30	2018.72	16.00	6.00		0.00
  O7+		97.24	83.98	2.02	2.02	8.69	8.69	2180.47	16.00	7.00		0.00
