Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
O5+		112.83	66.66	2.26	2.26	6.67	6.67	1979.99	16.00	5.00		0.00
O6+		103.34	81.93	2.07	2.07	8.19	8.19	2168.97	16.00	6.00		0.00
O7+		96.01	97.49	1.92	1.92	9.75	9.75	2342.76	16.00	7.00		0.00
O8+		90.14	112.86	1.80	1.80	11.29	11.29	2504.52	16.00	8.00		0.00
N4+		118.05	53.94	2.36	2.36	5.39	5.39	1893.24	14.00	4.00		0.00
N5+		105.90	69.23	2.12	2.12	6.92	6.92	2116.70	14.00	5.00		0.00
N6+		96.99	84.86	1.94	1.94	8.49	8.49	2318.73	14.00	6.00		0.00
N7+		90.12	100.59	1.80	1.80	10.06	10.06	2504.52	14.00	7.00		0.00
Ne7+		106.85	91.12	2.14	2.14	9.11	9.11	2095.43	20.00	7.00		0.00
Ne8+		100.30	106.06	2.01	2.01	10.61	10.61	2240.11	20.00	8.00		0.00
Mg5+		136.89	58.04	2.74	2.74	5.80	5.80	1616.66	24.00	5.00		0.00
Mg6+		125.36	72.47	2.51	2.51	7.25	7.25	1770.96	24.00	6.00		0.00
Mg7+		116.46	87.18	2.33	2.33	8.72	8.72	1912.86	24.00	7.00		0.00
Mg8+		109.33	101.62	2.19	2.19	10.16	10.16	2044.93	24.00	8.00		0.00
Mg9+		103.46	116.30	2.07	2.07	11.63	11.63	2168.97	24.00	9.00		0.00
Si5+		147.83	54.38	2.96	2.96	5.44	5.44	1496.73	28.00	5.00		0.00
Si6+		135.29	68.13	2.71	2.71	6.81	6.81	1639.59	28.00	6.00		0.00
Si7+		125.63	82.31	2.51	2.51	8.23	8.23	1770.96	28.00	7.00		0.00
Si8+		117.91	96.82	2.36	2.36	9.68	9.68	1893.24	28.00	8.00		0.00
Si9+		111.55	111.01	2.23	2.23	11.10	11.10	2008.08	28.00	9.00		0.00
Si10+		106.20	125.42	2.12	2.12	12.54	12.54	2116.70	28.00	10.00		0.00
S5+		157.83	51.25	3.16	3.16	5.13	5.13	1400.07	32.00	5.00		0.00
S6+		144.38	64.45	2.89	2.89	6.45	6.45	1533.70	32.00	6.00		0.00
S7+		134.03	78.04	2.68	2.68	7.80	7.80	1656.58	32.00	7.00		0.00
S8+		125.75	91.99	2.52	2.52	9.20	9.20	1770.96	32.00	8.00		0.00
S9+		118.94	106.27	2.38	2.38	10.63	10.63	1878.39	32.00	9.00		0.00
S10+		113.22	120.32	2.26	2.26	12.03	12.03	1979.99	32.00	10.00		0.00
Ca6+		161.05	56.69	3.22	3.22	5.67	5.67	1371.78	40.00	6.00		0.00
