 90 303 01 31 30  -5.004  11.310  -7.753  14.598
 90 303 01 32 30  -4.871  11.052  -8.131  14.578
 90 303 01 33 30  -4.709  10.760  -8.640  14.591
 90 303 01 34 30  -4.606  10.365  -9.190  14.599
 90 303 01 35 30  -4.558   9.857  -9.810  14.639
 90 303 01 36 30  -4.158   9.858 -10.124  14.738
 90 303 01 37 30  -4.654  10.076  -9.626  14.699
 90 303 01 38 30  -4.955   9.844  -9.724  14.702
 90 303 01 39 30  -4.622   9.196 -10.469  14.686
 90 303 01 40 30  -4.414   8.755 -10.972  14.718
 90 303 01 41 30  -4.937   8.731 -10.769  14.732
 90 303 01 42 30  -4.981   8.584 -10.879  14.728
 90 303 01 43 30  -5.082   8.397 -10.902  14.676
 90 303 01 44 30  -4.884   8.095 -11.233  14.693
 90 303 01 45 30  -4.975   7.743 -11.513  14.746
 90 303 01 46 30  -5.243   7.511 -11.508  14.741
 90 303 01 47 30  -5.815   8.840  -9.660  14.626
 90 303 01 48 30  -5.562  10.098  -6.997  13.708
 90 303 01 49 30  -4.718  10.472  -1.499  12.382
 90 303 01 50 30  -3.833  10.198   4.197  11.700
 90 303 01 51 30  -3.153   8.446   6.166  10.949
 90 303 01 52 30  -3.448   9.227   5.040  11.079
 90 303 01 53 30  -3.219   9.420   5.344  11.305
 90 303 01 54 30  -2.653   9.085   5.348  10.884
 90 303 01 55 30  -2.704   8.582   4.432  10.062
 90 303 01 56 30  -1.596   6.650   5.229   8.628
 90 303 01 57 30  -0.935   6.385   6.276   9.317
 90 303 01 58 30  -2.313   6.234   3.394   7.737
 90 303 01 59 30  -2.826   6.738   2.253   7.670
 90 303 02 00 30  -3.044   6.630   1.868   7.538
 90 303 02 01 30  -3.306   6.404   0.344   7.279
 90 303 02 02 30  -3.208   6.736   1.885   7.714
 90 303 02 03 30  -3.151   7.056   2.581   8.154
 90 303 02 04 30  -3.427   6.830   2.272   7.976
 90 303 02 05 30  -3.949   6.894   1.736   8.145
 90 303 02 06 30  -3.435   6.359   2.690   7.800
 90 303 02 07 30  -4.165   6.099   2.965   7.992
 90 303 02 08 30  -4.290   6.452   1.406   7.891
 90 303 02 09 30  -3.988   6.735   1.128   7.947
 90 303 02 10 30  -4.433   6.701   1.478   8.174
 90 303 02 11 30  -4.732   6.485   1.176   8.129
 90 303 02 12 30  -4.497   6.732   1.489   8.281
 90 303 02 13 30  -4.342   6.786   2.320   8.387
 90 303 02 14 30  -3.909   6.799   2.690   8.301
 90 303 02 15 30  -3.990   6.574   3.654   8.518
 90 303 02 16 30  -4.038   6.741   2.934   8.406
 90 303 02 17 30  -4.315   6.862   1.988   8.366
 90 303 02 18 30  -3.852   6.487   1.691   7.739
 90 303 02 19 30  -3.806   6.568   2.157   7.903
 90 303 02 20 30  -2.417   5.465   1.876   6.308
 90 303 02 21 30  -2.465   4.652   2.487   5.916
 90 303 02 22 30  -3.502   5.186   2.113   6.641
 90 303 02 23 30  -2.299   5.098   2.795   6.258
 90 303 02 24 30  -2.661   5.158   3.013   6.545
 90 303 02 25 30  -2.802   5.072   2.817   6.501
 90 303 02 26 30  -2.752   4.037   2.942   5.711
 90 303 02 27 30  -3.010   4.161   2.350   5.690
 90 303 02 28 30  -3.433   3.901   1.782   5.530
 90 303 02 29 30  -3.444   3.778   2.223   5.587
 90 303 02 30 30  -2.989   3.850   2.340   5.417
 90 303 02 31 30  -3.176   3.713   1.831   5.229
 90 303 02 32 30  -3.376   4.197   1.389   5.573
 90 303 02 33 30  -3.697   4.320   1.361   5.857
 90 303 02 34 30  -3.476   3.841   1.474   5.428
 90 303 02 35 30  -3.020   3.174   1.488   4.645
 90 303 02 36 30  -2.996   3.339   0.864   4.585
 90 303 02 37 30  -2.785   3.198   0.624   4.312
 90 303 02 38 30  -2.812   2.967   0.692   4.147
 90 303 02 39 30  -2.973   2.818   0.674   4.171
 90 303 02 40 30  -1.614   1.704   2.050   3.253
 90 303 02 41 30  -0.960   1.065   1.197   1.897
 90 303 02 42 30  -1.129   1.209   0.987   1.935
 90 303 02 43 30  -1.568   1.723   1.287   2.667
 90 303 02 44 30  -2.067   1.453   1.227   2.820
 90 303 02 45 30  -2.156   1.999   1.027   3.143
 90 303 02 46 30  -3.913   4.507   1.385   6.152
 90 303 02 47 30  -3.730   5.293   1.082   6.582
 90 303 02 48 30  -3.894   5.290   0.912   6.642
 90 303 02 49 30  -4.001   4.537   2.173   6.492
 90 303 02 50 30  -4.162   4.343   2.272   6.445
 90 303 02 51 30  -4.363   4.313   2.996   6.837
 90 303 02 52 30  -4.212   4.230   3.228   6.794
 90 303 02 53 30  -4.204   3.414   3.207   6.309
 90 303 02 54 30  -4.061   4.021   2.154   6.121
 90 303 02 55 30  -4.186   4.101   2.234   6.275
 90 303 02 56 30  -4.230   3.667   2.393   6.090
 90 303 02 57 30  -4.275   3.844   2.286   6.189
 90 303 02 58 30  -4.118   4.069   1.980   6.126
 90 303 02 59 30  -3.982   3.443   1.959   5.623
 90 303 03 00 30  -5.192   3.147   2.455   6.559
 90 303 03 01 30  -5.583   2.908   2.539   6.788
 90 303 03 02 30  -5.716   2.846   2.492   6.860
 90 303 03 03 30  -4.988   3.231   2.114   6.345
 90 303 03 04 30  -3.406   3.648   1.087   5.118
 90 303 03 05 30  -3.527   3.882   1.046   5.350
 90 303 03 06 30  -3.386   3.639   1.000   5.098
 90 303 03 07 30  -3.572   3.748   0.994   5.278
 90 303 03 08 30  -3.559   3.661   1.023   5.209
 90 303 03 09 30  -3.629   3.214   1.080   4.976
 90 303 03 10 30  -3.697   3.138   1.072   4.968
 90 303 03 11 30  -3.513   3.429   1.028   5.027
 90 303 03 12 30  -3.719   3.754   1.097   5.398
 90 303 03 13 30  -3.141   2.774   1.094   4.337
 90 303 03 14 30  -3.596   2.999   1.177   4.831
 90 303 03 15 30  -3.520   3.050   0.998   4.768
 90 303 03 16 30  -3.784   3.096   1.106   5.014
 90 303 03 17 30  -3.673   2.774   1.323   4.792
 90 303 03 18 30  -3.456   2.492   1.177   4.424
 90 303 03 19 30  -3.072   2.226   1.033   3.935
 90 303 03 20 30  -2.824   1.970   1.051   3.610
 90 303 03 21 30  -2.452   2.127   1.584   3.649
 90 303 03 22 30  -2.468   2.168   1.783   3.742
 90 303 03 23 30  -2.797   2.417   1.622   4.043
 90 303 03 24 30  -3.191   2.533   1.190   4.256
 90 303 03 25 30  -2.697   3.016   1.144   4.208
 90 303 03 26 30  -2.591   2.796   1.106   3.972
 90 303 03 27 30  -3.019   3.297   1.050   4.603
 90 303 03 28 30  -3.714   4.085   0.676   5.571
 90 303 03 29 30  -3.017   3.234   0.601   4.501
 90 303 03 30 30  -4.055   2.997   1.037   5.188
 90 303 03 31 30  -3.463   3.566   0.561   5.006
 90 303 03 32 30  -4.100   3.616   0.971   5.557
 90 303 03 33 30  -4.475   2.783   1.215   5.476
 90 303 03 34 30  -4.784   2.510   1.075   5.537
 90 303 03 35 30  -4.680   3.877   0.435   6.095
 90 303 03 36 30  -5.032   3.789   0.617   6.331
 90 303 03 37 30  -4.856   3.442   0.637   5.988
 90 303 03 38 30  -4.658   3.437   0.404   5.814
 90 303 03 39 30  -4.746   3.499   0.660   5.936
 90 303 03 40 30  -4.737   3.536   0.786   5.967
 90 303 03 41 30  -4.891   3.361   0.924   6.010
 90 303 03 42 30  -4.916   3.188   1.042   5.953
 90 303 03 43 30  -4.964   3.220   0.756   5.970
 90 303 03 44 30  -4.985   3.165   0.475   5.932
 90 303 03 45 30  -5.149   3.335   0.212   6.149
