Step : 1	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
3He1+		138.20	9.39	2.76	2.76	1.50	1.50	1428.20	3.00	1.00		0.00
He1+		160.23	9.20	3.20	3.20	1.50	1.50	1236.86	4.00	1.00		0.00
C1+		281.43	6.10	5.63	5.63	1.50	1.50	714.10	12.00	1.00		0.00
O1+		325.43	4.95	6.51	6.51	1.50	1.50	618.43	16.00	1.00		0.00
N1+		305.35	5.57	6.11	6.11	1.50	1.50	661.13	14.00	1.00		0.00
Ne1+		364.38	4.08	7.29	7.29	1.50	1.50	553.14	20.00	1.00		0.00
Mg1+		398.32	3.79	7.97	7.97	1.50	1.50	504.94	24.00	1.00		0.00
Si1+		444.50	3.27	8.89	8.89	1.50	1.50	467.49	28.00	1.00		0.00
S1+		480.62	2.99	9.61	9.61	1.50	1.50	437.29	32.00	1.00		0.00
Ca1+		546.18	2.61	10.92	10.92	1.50	1.50	391.13	40.00	1.00		0.00
Fe1+		667.24	2.08	13.34	13.34	1.50	1.50	330.56	56.00	1.00		0.00
Step : 9	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		82.63	9.44	1.65	1.65	1.50	1.50	2302.35	1.00	1.00		0.00
3He1+		143.85	8.66	2.88	2.88	1.50	1.50	1329.26	3.00	1.00		0.00
He1+		166.67	8.47	3.33	3.33	1.50	1.50	1151.17	4.00	1.00		0.00
C1+		293.38	5.52	5.87	5.87	1.50	1.50	664.63	12.00	1.00		0.00
O1+		339.61	4.45	6.79	6.79	1.50	1.50	575.59	16.00	1.00		0.00
N1+		318.51	5.03	6.37	6.37	1.50	1.50	615.33	14.00	1.00		0.00
Ne1+		380.28	3.70	7.61	7.61	1.50	1.50	514.82	20.00	1.00		0.00
Mg1+		416.11	3.43	8.32	8.32	1.50	1.50	469.96	24.00	1.00		0.00
Si1+		465.76	2.94	9.32	9.32	1.50	1.50	435.10	28.00	1.00		0.00
S1+		504.34	2.70	10.09	10.09	1.50	1.50	407.00	32.00	1.00		0.00
Ca1+		574.54	2.34	11.49	11.49	1.50	1.50	364.03	40.00	1.00		0.00
Fe1+		704.46	1.87	14.09	14.09	1.50	1.50	307.66	56.00	1.00		0.00
Step : 10	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		85.75	8.78	1.72	1.72	1.50	1.50	2142.86	1.00	1.00		0.00
3He1+		149.35	8.03	2.99	2.99	1.50	1.50	1237.18	3.00	1.00		0.00
He1+		172.93	7.85	3.46	3.46	1.50	1.50	1071.43	4.00	1.00		0.00
